v_gal,v_out,lognh,sigma,number_peaks,center1,center2
60,100,20.0,1.94176585852,2,-1.11309324906,403.508201916
60,100,20.0625,1.90966858921,2,8.9431549265,427.699489167
60,100,20.125,2.25792684303,2,13.2338609205,430.589980287
60,100,20.1875,2.15871609197,2,3.65419642939,387.117719896
60,100,20.25,2.48508653676,2,11.3176688053,445.296506556
60,100,20.3125,1.97615733376,2,11.7475731815,435.941928308
60,100,20.375,2.24964140085,2,16.6017354594,461.987277154
60,100,20.4375,2.43407203754,2,20.8859656003,479.669261316
60,100,20.5,2.34698032833,2,21.276075437,460.957079056
60,100,20.5625,2.45789832843,2,22.5507685132,476.574494777
60,100,20.625,1.94039316802,2,34.1091740685,473.13490555
60,100,20.6875,3.01077976466,2,16.4142568827,506.269148896
60,100,20.75,0.854379126357,2,15.4935500651,500.0
60,100,20.8125,2.15672360833,2,37.6160741457,500.416113454
60,100,20.875,2.92114427906,2,18.0387592208,554.834245767
60,100,20.9375,2.5568307552,2,17.4612420816,557.320332383
60,100,21.0,3.01138355348,2,-3.4815682034,627.113349768
60,100,21.0625,2.35876924849,2,4.41103852717,601.800276023
60,100,21.125,0.275085085531,2,609.812092907,500.0
60,100,21.1875,3.53607372794,2,0.411075035295,647.162275373
60,100,21.25,3.76161029622,2,-12.984720579,669.556581014
60,100,21.3125,0.250784994183,2,683.296692783,500.0
60,100,21.375,4.57268400218,2,60.6467813371,730.055543691
60,100,21.4375,2.28116089153,2,605.561617307,766.739792263
60,100,21.5,2.49482163232,2,9.92000951838,755.606916921
60,100,21.5625,2.00567009255,2,-93.9676980978,807.043843195
60,100,21.625,4.33718363434,2,-74.6295410116,752.422890253
60,100,21.6875,2.23421249736,2,51.9343605528,866.259195849
60,100,21.75,2.63495314757,2,19.3686771537,857.18842855
60,100,21.8125,1.70470567168,2,13.8468780177,915.620938238
60,100,21.875,1.45576858686,2,-25.7769331435,920.85866634
60,100,21.9375,0.549585330816,2,-185.0071365,500.0
60,100,22.0,2.94102582681,2,-162.737659578,1067.21180364
60,100,22.0625,0.369860044256,2,-158.559664758,500.0
60,100,22.125,3.35111706901,2,61.9551027739,1052.82021779
60,100,22.1875,0.142972430639,2,1115.26427789,500.0
60,100,22.25,2.6515438224,2,-162.246445396,1181.56370542
60,100,22.3125,-2.43378866966,2,260.968574269,1333.97862696
60,100,22.375,0.142205884931,2,1210.06089207,500.0
60,100,22.4375,2.86296664388,2,-76.9553607429,1315.12843682
60,100,22.5,0.413568668536,2,30.9256024604,500.0
125,200,20.0,0,1,386.725471354,386.725471354
125,200,20.0625,0,1,400.480748663,400.480748663
125,200,20.125,0,1,422.000809974,422.000809974
125,200,20.1875,0,1,419.908899621,419.908899621
125,200,20.25,0,1,439.173485667,439.173485667
125,200,20.3125,0,1,443.110171953,443.110171953
125,200,20.375,0,1,451.562694988,451.562694988
125,200,20.4375,0,1,481.078962529,481.078962529
125,200,20.5,0,1,520.82300907,520.82300907
125,200,20.5625,0,1,528.395180947,528.395180947
125,200,20.625,0,1,520.607262689,520.607262689
125,200,20.6875,0,1,535.46249414,535.46249414
125,200,20.75,0,1,562.669104801,562.669104801
125,200,20.8125,0.262212993652,2,561.191436996,500.0
125,200,20.875,4.75934520529,2,-78.6984076488,615.715441098
125,200,20.9375,0,1,635.946337933,635.946337933
125,200,21.0,3.76757730777,2,3.63131696074,637.44240043
125,200,21.0625,4.597408513,2,-66.0537610098,688.082176615
125,200,21.125,0.176192669078,2,685.603295798,500.0
125,200,21.1875,4.01396247296,2,-30.4553487076,675.174713481
125,200,21.25,3.49683873425,2,-29.6561772621,728.26386237
125,200,21.3125,0,1,782.694933202,782.694933202
125,200,21.375,0.200866676445,2,798.078762356,500.0
125,200,21.4375,0.159524638642,2,866.315507605,500.0
125,200,21.5,4.76796119054,2,-89.045823704,834.829305011
125,200,21.5625,-0.168452950953,2,873.385047151,500.0
125,200,21.625,0.151089125051,2,943.814309776,500.0
125,200,21.6875,0,1,990.842051176,990.842051176
125,200,21.75,6.3659950093,2,-75.3685766484,1012.16248724
125,200,21.8125,-3.39633411743,2,-266.512618176,1069.07891714
125,200,21.875,2.95846617004,2,-146.362679032,1026.81097335
125,200,21.9375,2.8120059811,2,-66.4303883636,1123.08754132
125,200,22.0,5.48400269543,2,-355.402097257,1226.64660373
125,200,22.0625,0.118570810821,2,1177.26909413,500.0
125,200,22.125,3.94831794763,2,21.0915816168,1267.8083039
125,200,22.1875,3.39920272036,2,-322.414701639,1321.43646027
125,200,22.25,-0.142102543961,2,1131.5603026,500.0
125,200,22.3125,0,1,1449.35507968,1449.35507968
125,200,22.375,0,1,1458.2761932,1458.2761932
125,200,22.4375,0.0888870299319,2,1514.44688684,500.0
125,200,22.5,0.0896624498997,2,1496.67122002,500.0
